MS4525_Raw_P,MS4525_Raw_T,SHT30_1_Raw_T,SHT30_1_Raw_H,SHT30_2_Raw_T,SHT30_2_Raw_H,DS18B20_Temps,FL808_Flow_Rate_LPM,Timestamp
8193,738,None,None,None,None,None,None,1764880530.0654025
None,None,24846,35449,24871,35545,None,None,1764880530.0656462
8192,738,None,None,None,None,None,None,1764880530.1660514
None,None,24841,35456,24866,35527,None,None,1764880530.1662114
8192,739,None,None,None,None,None,None,1764880530.2664225
None,None,24857,35452,24866,35536,None,None,1764880530.2664835
8193,739,None,None,None,None,None,None,1764880530.3668103
None,None,24851,35467,24876,35515,None,None,1764880530.367009
8196,739,None,None,None,None,None,None,1764880530.46739
None,None,24851,35458,24871,35545,None,None,1764880530.4675944
8192,739,None,None,None,None,None,None,1764880530.5678482
None,None,24851,35450,24871,35545,None,None,1764880530.5679123
8192,738,None,None,None,None,None,None,1764880530.6682117
None,None,24846,35449,24866,35495,None,None,1764880530.668421
8192,738,None,None,None,None,None,None,1764880530.7687628
None,None,24846,35449,24871,35545,None,None,1764880530.768855
8193,739,None,None,None,None,None,None,1764880530.869053
None,None,24851,35474,24876,35539,None,None,1764880530.869274
8192,739,None,None,None,None,None,None,1764880530.9694753
None,None,24851,35482,24871,35528,None,None,1764880530.9696696
8192,739,None,None,None,None,None,None,1764880531.0699613
None,None,24846,35465,24871,35521,None,None,1764880531.0700085
8192,738,None,None,None,None,None,None,1764880531.1702073
None,None,24841,35456,24871,35497,None,None,1764880531.1704097
8193,738,None,None,None,None,None,None,1764880531.2706897
None,None,24857,35444,24871,35537,None,None,1764880531.2708817
8196,738,None,None,None,None,None,None,1764880531.3711445
None,None,24857,35444,24860,35518,None,None,1764880531.3713408
8193,738,None,None,None,None,None,None,1764880531.4715989
None,None,24841,35440,24876,35522,None,None,1764880531.4716637
8193,738,None,None,None,None,None,None,1764880531.5718503
None,None,24841,35479,24876,35530,None,None,1764880531.5720377
8192,738,None,None,None,None,None,None,1764880531.6723266
None,None,24857,35461,24876,35498,None,None,1764880531.672531
8192,739,None,None,None,None,None,None,1764880531.7728055
None,None,24851,35458,24876,35530,None,None,1764880531.7728732
None,None,None,None,None,None,"([21.5625, 21.1875, 21.6875], ['0725803e0940', '0725802957ca', '072580357fff'])",None,1764880531.7729082
8192,739,None,None,None,None,None,None,1764880531.8731616
None,None,24857,35437,24881,35516,None,None,1764880531.8732395
8192,739,None,None,None,None,None,None,1764880531.973559
None,None,24851,35435,24866,35495,None,None,1764880531.9737852
8192,738,None,None,None,None,None,None,1764880532.074163
None,None,24851,35458,24871,35513,None,None,1764880532.0743794
8193,738,None,None,None,None,None,None,1764880532.1747897
None,None,24857,35468,24876,35554,None,None,1764880532.1749701
8193,739,None,None,None,None,None,None,1764880532.2752318
None,None,24846,35449,24876,35539,None,None,1764880532.2752984
8192,739,None,None,None,None,None,None,1764880532.3755953
None,None,24851,35435,24876,35515,None,None,1764880532.3758159
8192,738,None,None,None,None,None,None,1764880532.4762657
None,None,24846,35434,24881,35524,None,None,1764880532.4764946
8192,738,None,None,None,None,None,None,1764880532.5768723
None,None,24846,35473,24876,35489,None,None,1764880532.5770955
8192,739,None,None,None,None,None,None,1764880532.6773436
None,None,24851,35443,24881,35516,None,None,1764880532.6774092
8192,739,None,None,None,None,None,None,1764880532.777732
None,None,24851,35428,24866,35519,None,None,1764880532.7779644
8192,739,None,None,None,None,None,None,1764880532.8783329
None,None,24841,35417,24871,35504,None,None,1764880532.8785524
8192,738,None,None,None,None,None,None,1764880532.9789665
None,None,24846,35456,24876,35539,None,None,1764880532.9792848
8192,738,None,None,None,None,None,None,1764880533.0796022
None,None,24846,35480,24876,35515,None,None,1764880533.0798066
8192,739,None,None,None,None,None,None,1764880533.1800587
None,None,24857,35461,24881,35540,None,None,1764880533.1801229
8193,739,None,None,None,None,None,None,1764880533.2804258
None,None,24862,35453,24866,35470,None,None,1764880533.2811537
8192,739,None,None,None,None,None,None,1764880533.3814914
None,None,24851,35474,24871,35497,None,None,1764880533.381715
8192,739,None,None,None,None,None,None,1764880533.482091
None,None,24851,35467,24876,35522,None,None,1764880533.4823143
8192,738,None,None,None,None,None,None,1764880533.5826976
None,None,24857,35422,24871,35504,None,None,1764880533.582925
8196,738,None,None,None,None,None,None,1764880533.6831875
None,None,24846,35441,24881,35524,None,None,1764880533.683257
8193,738,None,None,None,None,None,None,1764880533.7835803
None,None,24857,35452,24871,35513,None,None,1764880533.7838035
8196,739,None,None,None,None,None,None,1764880533.8842156
None,None,24851,35428,24881,35531,None,None,1764880533.884522
8192,739,None,None,None,None,None,None,1764880533.9848526
None,None,24851,35474,24871,35504,None,None,1764880533.9849188
8192,738,None,None,None,None,None,None,1764880534.0852678
None,None,24857,35422,24871,35497,None,None,1764880534.0853772
8192,738,None,None,None,None,None,None,1764880534.1855862
None,None,24846,35426,24876,35489,None,None,1764880534.1858115
8192,739,None,None,None,None,None,None,1764880534.2861307
None,None,24857,35437,24876,35498,None,None,1764880534.2863424
None,None,None,None,None,None,"([21.5625, 21.1875, 21.6875], ['0725803e0940', '0725802957ca', '072580357fff'])",None,1764880534.2864892
8192,739,None,None,None,None,None,None,1764880534.3866973
None,None,24851,35443,24871,35513,None,None,1764880534.3867598
8192,739,None,None,None,None,None,None,1764880534.486961
None,None,24851,35428,24871,35497,None,None,1764880534.4871764
8196,739,None,None,None,None,None,None,1764880534.5874763
None,None,24851,35435,24871,35504,None,None,1764880534.5876827
8193,739,None,None,None,None,None,None,1764880534.6879783
None,None,24846,35426,24871,35488,None,None,1764880534.6881878
8193,739,None,None,None,None,None,None,1764880534.7884758
None,None,24851,35443,24887,35501,None,None,1764880534.7887268
8193,739,None,None,None,None,None,None,1764880534.889042
None,None,24857,35414,24871,35488,None,None,1764880534.889126
8192,738,None,None,None,None,None,None,1764880534.9893186
None,None,24846,35449,24866,35503,None,None,1764880534.9894085
8192,738,None,None,None,None,None,None,1764880535.0896618
None,None,24841,35440,24876,35482,None,None,1764880535.0897565
8193,738,None,None,None,None,None,None,1764880535.1899414
None,None,24851,35435,24871,35513,None,None,1764880535.1899955
8192,738,None,None,None,None,None,None,1764880535.2903104
None,None,24851,35450,24881,35498,None,None,1764880535.2904866
8192,738,None,None,None,None,None,None,1764880535.3909397
None,None,24846,35434,24881,35491,None,None,1764880535.3912008
8196,738,None,None,None,None,None,None,1764880535.4915822
None,None,24857,35429,24871,35513,None,None,1764880535.4918027
8193,738,None,None,None,None,None,None,1764880535.5920396
None,None,24857,35429,24871,35504,None,None,1764880535.5921035
8196,739,None,None,None,None,None,None,1764880535.6924012
None,None,24862,35431,24871,35497,None,None,1764880535.6926248
8192,739,None,None,None,None,None,None,1764880535.7930236
None,None,24857,35452,24876,35515,None,None,1764880535.793241
8192,738,None,None,None,None,None,None,1764880535.8935196
None,None,24857,35452,24876,35515,None,None,1764880535.893587
8193,738,None,None,None,None,None,None,1764880535.993788
None,None,24846,35434,24871,35488,None,None,1764880535.9938798
8193,739,None,None,None,None,None,None,1764880536.0941112
None,None,24846,35449,24871,35497,None,None,1764880536.0941997
8193,739,None,None,None,None,None,None,1764880536.1944125
None,None,24857,35422,24866,35503,None,None,1764880536.1945071
